"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000026745","117243","Acsl6"
"ENSRNOG00000043350","116653","Cap2"
"ENSRNOG00000022099","365377","Trim72"
"ENSRNOG00000009522","29412","Adra1a"
"ENSRNOG00000042086","171111","Rab26"
"ENSRNOG00000015913","362048","Tspan5"
"ENSRNOG00000027891","360583","Dhrs11"
"ENSRNOG00000023452","691354","LOC691354"
"ENSRNOG00000017012","25249","Coq7"
"ENSRNOG00000030688","301033","Lrrc2"
"ENSRNOG00000010645","83781","Lgals3"
"ENSRNOG00000060021","308622","Txlnb"
"ENSRNOG00000020747","114109","Nkx2-5"
"ENSRNOG00000036921","103693420","LOC103693420"
"ENSRNOG00000030726","29403","Asgr2"
"ENSRNOG00000003858","302526","Atp6ap2"
"ENSRNOG00000004841","64553","Akap6"
"ENSRNOG00000004146","192276","Coro7"
"ENSRNOG00000050152","291577","Chsy3"
"ENSRNOG00000003251","686081","B3galt2"
"ENSRNOG00000011517","316256","Tnfrsf21"
"ENSRNOG00000058752","360718","Popdc2"
"ENSRNOG00000029784","29431","Pak1"
"ENSRNOG00000026493","361276","Cdnf"
"ENSRNOG00000017108","29205","Syngr1"
"ENSRNOG00000007765","295691","Frzb"
"ENSRNOG00000012471","29220","Thbs4"
"ENSRNOG00000009892","300474","Adamts15"
"ENSRNOG00000021855","296952","Kcp"
"ENSRNOG00000011101","85489","Twist1"
"ENSRNOG00000002775","304860","Npl"
"ENSRNOG00000015669","363634","Kctd11"
"ENSRNOG00000010497","298077","Stra6l"
"ENSRNOG00000005798","29161","Cav3"
"ENSRNOG00000014409","289759","Myl7"
"ENSRNOG00000033734","24837","Tnnt2"
"ENSRNOG00000014816","25550","Slc1a1"
"ENSRNOG00000052486","64358","Kcna6"
"ENSRNOG00000058694","295051","Alg5"
"ENSRNOG00000016613","24459","Hoxc4"
"ENSRNOG00000020991","361735","Ms4a6a"
"ENSRNOG00000023708","297077","Tmem176a"
"ENSRNOG00000016581","291091","Serpinb1a"
"ENSRNOG00000051548","304816","Lmod1"
"ENSRNOG00000021161","309186","Fermt3"
"ENSRNOG00000008415","314910","Nab2"
"ENSRNOG00000050946","311535","Fam110a"
"ENSRNOG00000037085","100910104","Xirp1"
"ENSRNOG00000015076","312495","Cyp26b1"
"ENSRNOG00000016479","307796","Plekhg4"
"ENSRNOG00000001640","304017","Tomm70"
"ENSRNOG00000012062","286898","Npc2"
